Day,Hour,Category,Timespent,Month
3,6,Browsers,2,9
3,6,Email,78,9
3,6,Engineering & Technology,49,9
3,6,General News & Opinion,349,9
3,6,General Reference & Learning,7,9
3,6,General Social Networking,22,9
3,6,Search,8,9
3,7,Browsers,18,9
3,7,General News & Opinion,2,9
3,7,General Reference & Learning,23,9
3,7,General Shopping,38,9
3,7,General Social Networking,953,9
3,7,General Utilities,49,9
3,7,Home & Garden,10,9
3,7,Search,190,9
3,7,Uncategorized,108,9
3,7,Video,201,9
3,8,Browsers,24,9
3,8,Email,78,9
3,8,General Shopping,20,9
3,8,General Social Networking,233,9
3,8,General Utilities,39,9
3,8,Instant Message,12,9
3,8,Science & Technology,44,9
3,8,Search,134,9
3,8,Uncategorized,166,9
3,8,Video,28,9
3,9,General Utilities,41,9
3,9,Uncategorized,21,9
3,11,Browsers,54,9
3,11,General Shopping,13,9
3,11,General Social Networking,216,9
3,11,Intelligence,4,9
3,11,Search,10,9
3,11,Uncategorized,1626,9
3,12,Intelligence,227,9
3,12,Uncategorized,88,9
3,14,Browsers,6,9
3,14,General Social Networking,12,9
3,14,General Utilities,33,9
3,14,Instant Message,26,9
3,14,Intelligence,606,9
3,14,Uncategorized,107,9
3,15,Browsers,1,9
3,15,General Utilities,65,9
3,15,Instant Message,13,9
3,15,Intelligence,3,9
3,15,Uncategorized,228,9
3,16,Browsers,75,9
3,16,General Social Networking,22,9
3,16,General Utilities,32,9
3,16,Uncategorized,50,9
3,17,Browsers,15,9
3,17,General Business,2,9
3,17,Instant Message,8,9
3,17,Uncategorized,896,9
3,18,Browsers,56,9
3,18,Calendars,33,9
3,18,General Business,1067,9
3,18,General Entertainment,39,9
3,18,General Reference & Learning,903,9
3,18,Intelligence,87,9
3,18,Legal & Gov't,24,9
3,18,Search,271,9
3,18,Uncategorized,721,9
3,18,Voice Chat,4,9
3,19,Calendars,29,9
3,19,Engineering & Technology,9,9
3,19,General Business,327,9
3,19,General Reference & Learning,1891,9
3,19,General Utilities,4,9
3,19,Uncategorized,1340,9
3,20,Browsers,2,9
3,20,Calendars,7,9
3,20,General Business,650,9
3,20,General Social Networking,221,9
3,20,General Utilities,68,9
3,20,Uncategorized,559,9
3,20,Video,488,9
3,22,General Utilities,35,9
3,22,Uncategorized,302,9
3,22,Video,8,9
3,23,Browsers,19,9
3,23,General News & Opinion,392,9
3,23,General Shopping,463,9
3,23,General Social Networking,626,9
3,23,Search,131,9
3,23,Uncategorized,198,9
3,23,Video,587,9
4,9,General Entertainment,7,9
4,9,Intelligence,2,9
4,9,Uncategorized,332,9
4,10,Browsers,14,9
4,10,General Reference & Learning,1,9
4,10,General Shopping,24,9
4,10,General Utilities,63,9
4,10,Search,76,9
4,10,Uncategorized,381,9
4,10,Video,4,9
4,11,Browsers,48,9
4,11,Calendars,26,9
4,11,General Entertainment,24,9
4,11,General Reference & Learning,514,9
4,11,General Social Networking,43,9
4,11,General Utilities,120,9
4,11,Instant Message,282,9
4,11,Search,868,9
4,11,Uncategorized,338,9
4,11,Voice Chat,4,9
4,12,Browsers,33,9
4,12,Email,77,9
4,12,General News & Opinion,13,9
4,12,General Social Networking,509,9
4,12,General Utilities,60,9
4,12,Instant Message,1265,9
4,12,Search,89,9
4,12,Uncategorized,1133,9
4,12,Video,142,9
4,12,Voice Chat,40,9
4,14,Browsers,10,9
4,14,Email,70,9
4,14,General Social Networking,18,9
4,14,General Utilities,13,9
4,14,Uncategorized,384,9
4,14,Video,115,9
4,15,Browsers,28,9
4,15,General Reference & Learning,14,9
4,15,Search,38,9
4,15,Travel & Outdoors,127,9
4,15,Uncategorized,1484,9
4,15,Voice Chat,6,9
4,16,Browsers,21,9
4,16,General Business,192,9
4,16,General Entertainment,21,9
4,16,General Reference & Learning,111,9
4,16,General Social Networking,144,9
4,16,General Utilities,43,9
4,16,Instant Message,181,9
4,16,Search,169,9
4,16,Travel & Outdoors,1,9
4,16,Uncategorized,1376,9
4,16,Video,5,9
4,16,Voice Chat,4,9
4,16,Writing,176,9
4,17,Browsers,28,9
4,17,Engineering & Technology,457,9
4,17,General Business,1773,9
4,17,General Reference & Learning,101,9
4,17,General Social Networking,297,9
4,17,Instant Message,140,9
4,17,Presentation,50,9
4,17,Search,8,9
4,17,Uncategorized,737,9
4,17,Voice Chat,8,9
4,18,Browsers,16,9
4,18,Engineering & Technology,3,9
4,18,General Business,1285,9
4,18,General Reference & Learning,233,9
4,18,General Social Networking,109,9
4,18,General Utilities,35,9
4,18,Presentation,197,9
4,18,Uncategorized,115,9
5,1,Browsers,50,9
5,1,Engineering & Technology,2,9
5,1,General Business,5,9
5,1,General Entertainment,44,9
5,1,General News & Opinion,131,9
5,1,General Reference & Learning,14,9
5,1,General Shopping,147,9
5,1,General Social Networking,337,9
5,1,General Software Development,3,9
5,1,General Utilities,33,9
5,1,Presentation,2,9
5,1,Science & Technology,1,9
5,1,Search,122,9
5,1,Uncategorized,604,9
5,1,Video,357,9
5,11,General Shopping,6,9
5,11,General Utilities,33,9
5,11,Uncategorized,20,9
5,12,Browsers,51,9
5,12,General News & Opinion,150,9
5,12,General Shopping,654,9
5,12,General Social Networking,149,9
5,12,General Utilities,215,9
5,12,Instant Message,2,9
5,12,Search,26,9
5,12,Uncategorized,100,9
5,12,Video,92,9
5,21,Browsers,19,9
5,21,General Utilities,35,9
5,21,Quality Assurance,359,9
5,21,Search,138,9
5,21,Uncategorized,12,9
5,21,Video,808,9
6,8,General Utilities,41,9
6,8,Travel & Outdoors,4,9
6,8,Video,10,9
6,9,Browsers,85,9
6,9,General Shopping,2,9
6,9,General Social Networking,339,9
6,9,Instant Message,10,9
6,9,Maps & Regional,35,9
6,9,Search,178,9
6,9,Travel & Outdoors,1158,9
6,9,Uncategorized,107,9
6,9,Video,4,9
6,10,Browsers,15,9
6,10,General Social Networking,83,9
6,10,General Utilities,37,9
6,10,Search,86,9
6,10,Travel & Outdoors,275,9
6,10,Uncategorized,286,9
6,11,Browsers,7,9
6,11,General Shopping,1,9
6,11,General Social Networking,708,9
6,11,General Utilities,95,9
6,11,Search,5,9
6,11,Uncategorized,13,9
6,16,Browsers,3,9
6,16,General Shopping,177,9
6,16,General Social Networking,5,9
6,16,Uncategorized,2,9
6,19,Browsers,17,9
6,19,Calendars,49,9
6,19,Engineering & Technology,16,9
6,19,General News & Opinion,6,9
6,19,General Reference & Learning,59,9
6,19,General Shopping,29,9
6,19,General Social Networking,13,9
6,19,General Utilities,146,9
6,19,Intelligence,4,9
6,19,Search,371,9
6,19,Travel & Outdoors,235,9
6,19,Uncategorized,1388,9
6,20,Browsers,22,9
6,20,Calendars,2,9
6,20,General Entertainment,232,9
6,20,General News & Opinion,31,9
6,20,General Shopping,27,9
6,20,General Social Networking,338,9
6,20,General Utilities,33,9
6,20,Search,3,9
6,20,Travel & Outdoors,4,9
6,20,Uncategorized,839,9
6,20,Video,2,9
6,21,Browsers,14,9
6,21,Calendars,19,9
6,21,Engineering & Technology,19,9
6,21,General Business,7,9
6,21,General Entertainment,72,9
6,21,General News & Opinion,15,9
6,21,General Reference & Learning,331,9
6,21,General Social Networking,327,9
6,21,General Utilities,33,9
6,21,Intelligence,23,9
6,21,Search,46,9
6,21,Uncategorized,860,9
6,22,Browsers,9,9
6,22,General News & Opinion,660,9
6,22,General Reference & Learning,11,9
6,22,General Shopping,474,9
6,22,General Social Networking,504,9
6,22,General Software Development,28,9
6,22,Science & Technology,18,9
6,22,Search,71,9
6,22,Uncategorized,110,9
6,22,Video,11,9
6,23,Calendars,13,9
6,23,General Shopping,127,9
6,23,General Social Networking,1,9
6,23,General Utilities,33,9
6,23,Uncategorized,105,9
7,8,Browsers,37,9
7,8,General News & Opinion,1,9
7,8,General Shopping,3,9
7,8,General Social Networking,901,9
7,8,General Utilities,65,9
7,8,Instant Message,251,9
7,8,Internet Utilities,3,9
7,8,Search,185,9
7,8,Uncategorized,90,9
7,9,Browsers,65,9
7,9,Calendars,129,9
7,9,General News & Opinion,722,9
7,9,General Shopping,1,9
7,9,General Social Networking,419,9
7,9,General Utilities,150,9
7,9,Search,156,9
7,9,Travel & Outdoors,29,9
7,9,Uncategorized,453,9
7,22,Browsers,13,9
7,22,General Shopping,334,9
7,22,General Utilities,28,9
7,22,Search,26,9
7,22,Uncategorized,6,9
7,23,Browsers,23,9
7,23,Calendars,3,9
7,23,General News & Opinion,2,9
7,23,General Shopping,919,9
7,23,General Social Networking,691,9
7,23,General Utilities,19,9
7,23,Internet Utilities,1,9
7,23,Search,139,9
7,23,Uncategorized,41,9
8,0,General News & Opinion,11,9
8,0,General Shopping,30,9
8,0,General Utilities,37,9
8,0,Search,265,9
8,1,Browsers,42,9
8,1,General News & Opinion,291,9
8,1,General Shopping,24,9
8,1,General Social Networking,5,9
8,1,General Utilities,5,9
8,1,Search,55,9
8,1,Uncategorized,110,9
8,8,Browsers,4,9
8,8,Calendars,55,9
8,8,General News & Opinion,2,9
8,8,Project Management,2,9
8,8,Uncategorized,75,9
8,9,Browsers,25,9
8,9,Calendars,434,9
8,9,General News & Opinion,63,9
8,9,General Reference & Learning,44,9
8,9,General Utilities,84,9
8,9,Intelligence,1,9
8,9,Project Management,1367,9
8,9,Search,26,9
8,9,Uncategorized,601,9
8,9,Voice Chat,554,9
8,10,Browsers,9,9
8,10,Calendars,69,9
8,10,General Reference & Learning,43,9
8,10,General Social Networking,1,9
8,10,General Utilities,58,9
8,10,Intelligence,1038,9
8,10,Project Management,12,9
8,10,Search,2,9
8,10,Uncategorized,146,9
8,10,Voice Chat,5,9
8,11,Browsers,24,9
8,11,Email,71,9
8,11,General Reference & Learning,3,9
8,11,General Social Networking,505,9
8,11,General Utilities,17,9
8,11,Instant Message,18,9
8,11,Intelligence,7,9
8,11,Search,6,9
8,11,Uncategorized,33,9
8,12,Browsers,25,9
8,12,Calendars,608,9
8,12,Email,45,9
8,12,General Business,126,9
8,12,General Reference & Learning,73,9
8,12,General Social Networking,70,9
8,12,General Utilities,48,9
8,12,Instant Message,82,9
8,12,Search,24,9
8,12,Uncategorized,800,9
8,12,Writing,338,9
8,13,Browsers,1,9
8,13,General Reference & Learning,28,9
8,13,General Social Networking,80,9
8,13,General Utilities,3,9
8,13,Search,2,9
8,13,Uncategorized,316,9
8,14,Calendars,136,9
8,14,General Reference & Learning,7,9
8,14,General Utilities,394,9
8,14,Uncategorized,754,9
8,14,Writing,3,9
8,15,Browsers,31,9
8,15,Calendars,3,9
8,15,General Business,608,9
8,15,General Entertainment,118,9
8,15,General Reference & Learning,133,9
8,15,General Social Networking,105,9
8,15,General Utilities,33,9
8,15,Intelligence,3,9
8,15,Search,55,9
8,15,Uncategorized,590,9
8,15,Writing,1530,9
8,16,Browsers,8,9
8,16,Calendars,35,9
8,16,Engineering & Technology,92,9
8,16,General Business,1614,9
8,16,General Reference & Learning,78,9
8,16,General Utilities,121,9
8,16,Intelligence,66,9
8,16,Presentation,38,9
8,16,Search,87,9
8,16,Uncategorized,855,9
8,17,General Reference & Learning,187,9
8,17,Uncategorized,261,9
8,18,Browsers,2,9
8,18,Calendars,4,9
8,18,Engineering & Technology,1,9
8,18,General Business,137,9
8,18,General Reference & Learning,4,9
8,18,General Utilities,34,9
8,18,Intelligence,318,9
8,18,Search,2,9
8,18,Uncategorized,342,9
8,19,Uncategorized,166,9
8,22,Browsers,27,9
8,22,Calendars,19,9
8,22,Engineering & Technology,3,9
8,22,General Business,269,9
8,22,General Communication & Scheduling,346,9
8,22,General Reference & Learning,26,9
8,22,General Shopping,199,9
8,22,General Social Networking,215,9
8,22,General Utilities,6,9
8,22,Intelligence,4,9
8,22,Presentation,4,9
8,22,Project Management,187,9
8,22,Search,79,9
8,22,Uncategorized,768,9
8,23,Browsers,5,9
8,23,Calendars,87,9
8,23,Engineering & Technology,3,9
8,23,General Business,216,9
8,23,General Communication & Scheduling,12,9
8,23,General Reference & Learning,352,9
8,23,General Shopping,6,9
8,23,Intelligence,7,9
8,23,Internet Utilities,58,9
8,23,Project Management,47,9
8,23,Search,4,9
8,23,Uncategorized,1335,9
9,0,Browsers,34,9
9,0,Calendars,11,9
9,0,Email,35,9
9,0,Engineering & Technology,106,9
9,0,General Shopping,25,9
9,0,General Social Networking,46,9
9,0,General Utilities,263,9
9,0,Intelligence,52,9
9,0,Search,37,9
9,0,Systems Operations,3,9
9,0,Uncategorized,850,9
9,1,Uncategorized,16,9
9,7,Browsers,36,9
9,7,Email,10,9
9,7,General Business,1,9
9,7,General News & Opinion,9,9
9,7,General Reference & Learning,271,9
9,7,General Shopping,244,9
9,7,General Utilities,46,9
9,7,Operations,43,9
9,7,Search,213,9
9,7,Uncategorized,68,9
9,10,Browsers,9,9
9,10,Email,7,9
9,10,General Business,1441,9
9,10,General Entertainment,201,9
9,10,General Reference & Learning,206,9
9,10,General Shopping,18,9
9,10,General Utilities,22,9
9,10,Intelligence,12,9
9,10,Music,47,9
9,10,Presentation,136,9
9,10,Search,13,9
9,10,Uncategorized,23,9
9,10,Writing,2,9
9,11,Browsers,17,9
9,11,Calendars,159,9
9,11,Engineering & Technology,54,9
9,11,General Business,2481,9
9,11,General Reference & Learning,66,9
9,11,General Utilities,20,9
9,11,Instant Message,132,9
9,11,Presentation,2,9
9,11,Project Management,75,9
9,11,Science & Technology,9,9
9,11,Search,14,9
9,11,Uncategorized,117,9
9,11,Voice Chat,6,9
9,12,Browsers,14,9
9,12,General Business,1701,9
9,12,General Reference & Learning,185,9
9,12,Instant Message,27,9
9,12,Search,8,9
9,12,Uncategorized,3,9
9,12,Writing,315,9
9,13,Browsers,21,9
9,13,Calendars,98,9
9,13,Email,914,9
9,13,General Reference & Learning,804,9
9,13,General Shopping,131,9
9,13,General Social Networking,126,9
9,13,General Utilities,332,9
9,13,Instant Message,75,9
9,13,Intelligence,21,9
9,13,Uncategorized,691,9
9,13,Voice Chat,89,9
9,14,Browsers,20,9
9,14,Calendars,29,9
9,14,General Business,1,9
9,14,General News & Opinion,47,9
9,14,General Reference & Learning,1799,9
9,14,General Social Networking,341,9
9,14,General Software Development,49,9
9,14,General Utilities,73,9
9,14,Instant Message,4,9
9,14,Project Management,73,9
9,14,Search,13,9
9,14,Uncategorized,583,9
9,14,Writing,218,9
9,15,Browsers,17,9
9,15,Calendars,85,9
9,15,General Business,1062,9
9,15,General Entertainment,202,9
9,15,General News & Opinion,74,9
9,15,General Reference & Learning,69,9
9,15,General Shopping,2,9
9,15,General Social Networking,1,9
9,15,General Software Development,3,9
9,15,General Utilities,35,9
9,15,Instant Message,41,9
9,15,Project Management,22,9
9,15,Search,57,9
9,15,Uncategorized,735,9
9,15,Voice Chat,11,9
9,16,Calendars,100,9
9,16,General Business,3,9
9,16,General Reference & Learning,7,9
9,17,Calendars,22,9
9,17,Engineering & Technology,42,9
9,17,General Business,1328,9
9,17,General News & Opinion,557,9
9,17,General Reference & Learning,5,9
9,17,Instant Message,7,9
9,17,Project Management,100,9
9,17,Uncategorized,14,9
9,17,Writing,11,9
9,18,Calendars,109,9
9,18,General Business,2108,9
9,18,General Utilities,91,9
9,18,Uncategorized,1264,9
9,18,Writing,25,9
9,19,General Business,1278,9
9,19,General Utilities,64,9
9,19,Video,44,9
9,20,Browsers,1,9
9,20,General Business,7,9
9,20,Music,59,9
9,20,Video,3316,9
9,21,General Utilities,43,9
9,21,Video,2606,9
10,7,Calendars,7,9
10,7,General Business,6,9
10,7,General Utilities,34,9
10,7,Instant Message,25,9
10,8,Calendars,10,9
10,8,General Business,192,9
10,8,General Utilities,33,9
10,8,Writing,1,9
10,10,Browsers,9,9
10,10,Calendars,45,9
10,10,General Business,126,9
10,10,General Entertainment,72,9
10,10,General News & Opinion,34,9
10,10,General Reference & Learning,78,9
10,10,General Shopping,4,9
10,10,General Software Development,22,9
10,10,General Utilities,175,9
10,10,Instant Message,113,9
10,10,Presentation,3,9
10,10,Project Management,28,9
10,10,Uncategorized,112,9
10,10,Writing,347,9
10,11,Browsers,7,9
10,11,General Business,181,9
10,11,General Reference & Learning,39,9
10,11,Instant Message,1742,9
10,11,Intelligence,8,9
10,11,Search,8,9
10,11,Uncategorized,441,9
10,11,Writing,1171,9
10,12,Browsers,7,9
10,12,General Business,969,9
10,12,General Reference & Learning,170,9
10,12,General Utilities,38,9
10,12,Instant Message,15,9
10,12,Project Management,66,9
10,12,Search,6,9
10,13,General Reference & Learning,16,9
10,13,General Utilities,34,9
10,13,Project Management,183,9
10,13,Uncategorized,95,9
10,14,Browsers,4,9
10,14,Calendars,247,9
10,14,Email,1098,9
10,14,Engineering & Technology,122,9
10,14,General Entertainment,63,9
10,14,General Reference & Learning,274,9
10,14,General Utilities,28,9
10,14,Instant Message,55,9
10,14,Project Management,230,9
10,14,Search,2,9
10,14,Uncategorized,709,9
10,14,Writing,48,9
10,15,Browsers,9,9
10,15,Calendars,204,9
10,15,Email,54,9
10,15,Engineering & Technology,11,9
10,15,General Business,424,9
10,15,General Entertainment,19,9
10,15,Instant Message,76,9
10,15,Intelligence,134,9
10,15,Project Management,247,9
10,15,Search,3,9
10,15,Uncategorized,929,9
10,15,Writing,1,9
10,17,Accounting,1,9
10,17,Browsers,17,9
10,17,Email,89,9
10,17,General Business,79,9
10,17,General Entertainment,71,9
10,17,General News & Opinion,146,9
10,17,General Reference & Learning,381,9
10,17,General Utilities,91,9
10,17,Instant Message,91,9
10,17,Intelligence,26,9
10,17,Internet Utilities,6,9
10,17,Music,5,9
10,17,Project Management,17,9
10,17,Search,412,9
10,17,Uncategorized,175,9
10,17,Writing,697,9
10,18,Calendars,9,9
10,18,General Utilities,18,9
10,18,Uncategorized,475,9
10,18,Voice Chat,5,9
10,18,Writing,1666,9
10,19,General Reference & Learning,11,9
10,19,General Utilities,32,9
10,19,Writing,640,9
10,20,Browsers,9,9
10,20,General Business,113,9
10,20,General Social Networking,112,9
10,20,General Utilities,32,9
10,20,Uncategorized,567,9
10,20,Writing,381,9
10,21,Games,37,9
10,21,General News & Opinion,41,9
10,21,General Reference & Learning,7,9
10,21,General Social Networking,1610,9
10,21,Search,147,9
10,21,Uncategorized,260,9
10,21,Video,1,9
10,22,Browsers,3,9
10,22,Email,97,9
10,22,General News & Opinion,5,9
10,22,General Social Networking,16,9
10,22,General Utilities,17,9
10,22,Search,9,9
10,22,Uncategorized,14,9
10,22,Video,57,9
10,23,General Business,6,9
10,23,General Entertainment,8,9
10,23,General News & Opinion,25,9
10,23,General Reference & Learning,30,9
10,23,General Software Development,41,9
10,23,General Utilities,15,9
10,23,Internet Utilities,220,9
10,23,Uncategorized,893,9
11,0,Browsers,7,9
11,0,Calendars,18,9
11,0,Email,219,9
11,0,General Business,160,9
11,0,General Entertainment,2,9
11,0,General News & Opinion,1,9
11,0,General Reference & Learning,511,9
11,0,General Social Networking,18,9
11,0,General Utilities,170,9
11,0,Health & Medicine,91,9
11,0,Intelligence,236,9
11,0,Science & Technology,15,9
11,0,Search,136,9
11,0,Uncategorized,851,9
11,1,Browsers,13,9
11,1,Email,12,9
11,1,Games,374,9
11,1,General Business,32,9
11,1,General News & Opinion,638,9
11,1,General Social Networking,561,9
11,1,General Utilities,33,9
11,1,Search,1,9
11,1,Uncategorized,36,9
11,1,Writing,23,9
11,6,Browsers,3,9
11,6,Email,27,9
11,6,General Business,1,9
11,6,General Utilities,32,9
11,6,Writing,17,9
11,10,Calendars,5,9
11,10,General Business,723,9
11,10,General Reference & Learning,269,9
11,10,General Utilities,47,9
11,10,Project Management,568,9
11,10,Writing,35,9
11,11,General Business,982,9
11,11,General Utilities,53,9
11,11,Instant Message,13,9
11,11,Intelligence,724,9
11,12,Browsers,4,9
11,12,Engineering & Technology,10,9
11,12,General Business,3,9
11,12,General Entertainment,234,9
11,12,General News & Opinion,8,9
11,12,General Social Networking,11,9
11,12,Instant Message,321,9
11,12,Intelligence,29,9
11,12,Uncategorized,3,9
11,12,Writing,43,9
11,13,Browsers,44,9
11,13,General Reference & Learning,489,9
11,13,General Utilities,19,9
11,13,Instant Message,4,9
11,13,Intelligence,74,9
11,13,Search,44,9
11,13,Uncategorized,1337,9
11,13,Voice Chat,30,9
11,13,Writing,12,9
11,14,Browsers,59,9
11,14,Engineering & Technology,30,9
11,14,General Business,30,9
11,14,General Entertainment,369,9
11,14,General News & Opinion,331,9
11,14,General Utilities,52,9
11,14,Instant Message,3,9
11,14,Intelligence,23,9
11,14,Search,33,9
11,14,Uncategorized,653,9
11,14,Voice Chat,160,9
11,14,Writing,768,9
11,15,General Entertainment,1574,9
11,15,General Reference & Learning,5,9
11,15,Intelligence,5,9
11,15,Uncategorized,15,9
11,15,Writing,48,9
11,16,Browsers,28,9
11,16,Calendars,15,9
11,16,Email,658,9
11,16,Engineering & Technology,9,9
11,16,General Business,488,9
11,16,General Entertainment,24,9
11,16,General Reference & Learning,2,9
11,16,General Utilities,19,9
11,16,Intelligence,60,9
11,16,Uncategorized,633,9
11,16,Writing,389,9
11,17,Email,285,9
11,18,Email,284,9
11,18,General Social Networking,1,9
11,18,General Utilities,42,9
11,18,Uncategorized,84,9
11,19,Browsers,17,9
11,19,Email,260,9
11,19,Engineering & Technology,32,9
11,19,General Entertainment,176,9
11,19,General Reference & Learning,715,9
11,19,General Social Networking,782,9
11,19,General Utilities,72,9
11,19,Intelligence,15,9
11,19,Professional Networking,68,9
11,19,Project Management,54,9
11,19,Search,14,9
11,19,Uncategorized,418,9
11,19,Video,77,9
11,19,Voice Chat,5,9
11,20,Browsers,30,9
11,20,Email,2,9
11,20,Engineering & Technology,47,9
11,20,General Business,4,9
11,20,General Entertainment,35,9
11,20,General News & Opinion,11,9
11,20,General Reference & Learning,6,9
11,20,General Shopping,54,9
11,20,General Social Networking,731,9
11,20,Internet Utilities,2,9
11,20,Search,609,9
11,20,Uncategorized,60,9
11,20,Writing,517,9
11,21,Browsers,4,9
11,21,Email,251,9
11,21,General Business,6,9
11,21,General Entertainment,45,9
11,21,General Reference & Learning,1,9
11,21,General Shopping,36,9
11,21,General Social Networking,178,9
11,21,General Utilities,4,9
11,21,Intelligence,10,9
11,21,Writing,2468,9
11,22,Browsers,22,9
11,22,Email,421,9
11,22,General Business,59,9
11,22,General News & Opinion,55,9
11,22,General Reference & Learning,1254,9
11,22,General Social Networking,474,9
11,22,General Utilities,5,9
11,22,Project Management,24,9
11,22,Search,163,9
11,22,Uncategorized,48,9
11,22,Voice Chat,3,9
11,22,Writing,1065,9
11,23,Browsers,6,9
11,23,Email,75,9
11,23,General Business,4,9
11,23,General Entertainment,9,9
11,23,General News & Opinion,271,9
11,23,General Reference & Learning,148,9
11,23,General Utilities,30,9
11,23,Uncategorized,1,9
11,23,Writing,23,9
12,0,Browsers,23,9
12,0,Email,78,9
12,0,General Entertainment,6,9
12,0,General Social Networking,1,9
12,0,Search,52,9
12,0,Uncategorized,328,9
12,0,Video,150,9
12,1,Browsers,5,9
12,1,Email,3,9
12,1,General Social Networking,81,9
12,1,General Utilities,32,9
12,1,Video,2,9
12,8,Browsers,2,9
12,8,Email,264,9
12,8,General News & Opinion,80,9
12,8,General Reference & Learning,24,9
12,8,General Social Networking,254,9
12,8,General Utilities,19,9
12,8,Instant Message,12,9
12,8,Video,3,9
12,20,Video,1068,9
12,21,Browsers,4,9
12,21,Email,58,9
12,21,General Social Networking,2,9
12,21,General Utilities,53,9
